,Eng
0,I like him.
1,He likes me.
2,He liked them.
3,They hated him.
4,John likes dogs.
5,Dogs like John.
6,Peter likes small dogs.
7,Small dogs like him.
8,They hate big dogs.
9,Small dogs hate them.
10,Big dogs can like you.
11,You can like small dogs.
12,She hates his dogs.
13,He can hate them.
14,We are kind.
15,I am kind.
16,You are kind.
17,They are kind people.
18,People are kind.
19,They are his dogs.
20,Small dogs are pretty.
21,Pretty dogs will hate him.
22,Pretty dogs can hate his house.
23,They are in the house.
24,You will hate their dogs in the house.
25,She is not kind.
26,They are not kind.
27,John is not small.
28,It is not a dog.
29,They are not your dogs.
30,Dogs do not hate him.
31,They do not like the house.
32,We do not like it.
33,She hates small dogs.
34,She does not hate big dogs.
35,I hated Peter.
36,He did not hate Peter.
37,Peter will hate them.
38,John will not hate them.
39,I do it.
40,I do not do it.
41,She did it.
42,He did not do it.
43,John does them.
44,John does not do them.
45,You can go to the room.
46,She cannot go to the room.
47,We could do it.
48,Peter could not do it.
49,They are not in the room.
50,You are kind.
51,Are you kind?
52,She is small.
53,Is she small?
54,Do you love me?
55,She loves you.
56,Does she love them?
57,You are who. 
58,Who are you?
59,They are who.
60,Who are they?
61,You like books.
62,You like books why.
63,Why do you like books?
64,We liked it.
65,We liked it why.
66,Why did he like it?
67,Peter can do it.
68,Can Peter do it?
69,John could do it how.
70,How could John do it?
71,You bought it where.
72,Where did you buy it?
73,You could buy the books where.
74,Where could you buy the books?
75,
76,Peter is not small.
77,A dog is in the house.
78,Peter is in the house.
79,He can go to the room.
80,John likes a dog.
81,Why do you like a dog?
82,How could Peter do it?
83,I like his dogs.
84,Do you like dogs?
85,She hates big dogs.
86,We love our house.
87,You can buy a dog.
88,It is a dog.
89,Where could you buy a dog?
90,He likes a dog.
91,She can go to the room.
92,He likes dogs.
93,She is not small.
94,They are in the rooms.
95,John is in the house.
96,Peter likes a dog.
97,Can you go to the house?
98,The house is big.
99,Peter is in his house.
100,It is a pretty house.
101,She loves her room.
102,I love my dog.
103,We are in the house.
104,Why are you in the house?
105,They are in the room.
106,People are in the house.
107,He likes his room.
108,Why do you like the house?
109,They are kind.
110,It is pretty.
111,She loves her dog.
112,The dog is big.
113,I like my house.
114,We go to the house.
115,How big is your house?
116,Where is John?
117,Why do you like dogs?
118,People are in the rooms.
119,A dog is big.
120,She is kind.
121,You like a small dog.
122,We can go to the house.
123,He loves his house.
124,Do you like the house?
125,John bought a house.
126,Where is Peter?
127,Why do people like dogs?
128,People like dogs.
129,He loves his dog.
130,Peter is in a house.
131,It is a big room.
132,Who is in the house?
133,People are in the room.
134,John likes his house.
135,Where is the dog?
136,Do you like your room?
137,Its room is small.
138,It is a big house.
139,How are you?
140,You can go to the house.
141,A dog is small.
142,We are in a room.
143,I like to go to the house.
144,You like your room.
145,Where are you?
146,Where are the rooms?
147,Do you like her house?
148,Why do you like it?
149,We love our dog.
150,Where is your dog?
151,They like to go to the house.
152,How do you like the house?
153,John went to the house.
154,He went to the house.
155,The house is in the room.
156,She loves dogs.
157,It is a pretty dog.
158,Why is the dog small?
159,He likes his dog.
160,How do you like your house?
161,She likes her dog.
162,They go to the house.
163,We are in the room.
164,Why do you like the big house?
165,John is in a room.
166,I love dogs!
167,A dog is pretty.
168,It is a big dog.
169,A dog is in the room.
170,We will go to the house.
171,Peter loves his dog.
172,The dog is small.
173,People are in rooms.
174,They like dogs.
175,I love my dog!
176,She likes her room.
177,Do you like your house?
178,The house is small.
179,Could you buy a dog?
180,He can go to the house.
181,John is in his room.
182,Peter likes a big house.
183,I am kind to my dog.
184,How do you like your room?
185,Dogs like to be in their rooms.
186,Peter is kind.
187,They are in their house.
188,He likes his house.
189,John is pretty.
190,I am in my room.
191,We are in our room.
192,You are in your house.
193,John likes a small room.
194,You will be kind.
195,You are not kind.
196,The house is for us.
197,You are pretty.
198,Peter likes the house.
199,It is a pretty room.
200,She likes the house.
201,Peter likes his dog.
202,How big is the dog?
203,I am in the house.
204,Where is the house?
205,John likes the house.
206,The dog is pretty.
207,He is in his room.
208,She is in the house.
209,You like the house.
210,They like the house.
211,Peter is in a big house.
212,He is in the house.
213,You are in the room.
214,We like the house.
215,We are in a big room.
216,He is not in the room.
217,John is in his house.
218,They love to go to the house.
219,He will buy a dog.
220,You could buy a dog for me.
221,People love dogs.
222,She likes to go to the house.
223,I would like to buy a dog.
224,We like to go to the house.
225,Did John go to the house?
226,Why do they like dogs?
227,It is a small dog.
228,Where did you buy the dog?
229,She will buy a house.
230,How do you like the dog?
231,She does not like the big dog.
232,He likes to go to the house.
233,She bought a dog.
234,The dog is kind.
235,He bought a house.
236,It will be in the room.
237,How does she like her room?
238,Why does he like dogs?
239,People will be in the house.
240,She does not like her room.
241,Peter does not like dogs.
242,John does not like the house.
243,Do you not like dogs?
244,Where does it go?
245,Where will it go?
246,Peter will go to the house.
247,Where can it go?
248,We do not like dogs.
249,It does not like the room.
250,He does not like his dog.
251,How does she not like her room?
252,Where does it not go?
253,Peter can go to the house.
254,It can be in the room.
255,You do not like the house.
256,Why does he not like dogs?
257,Could you go to the house?
258,Did Peter go to the house?
259,She does not like the dog.
260,I do not like the house.
261,Who is in the room?
262,He is kind.
263,She is pretty.
264,She is not pretty.
265,Does John like the house?
266,He does not like the room.
267,Would you like to go?
268,He is not kind.
269,Peter goes to the house.
270,It will go to the house.
271,He is not in his house.
272,It is not in the house.
273,It goes to the room.
274,You can go to a room.
275,They will go to their rooms.
276,A dog is not in the room.
277,She goes to her room.
278,John can go to a room.
279,They go to their rooms.
280,She can go to her room.
281,It is a small room.
282,He goes to his house.
283,You go to a room.
284,It goes to the house.
285,John will go to a room.
286,They can go to their rooms.
287,You are not in a room.
288,You are in a room.
289,People go to the house.
290,They like their rooms.
291,Peter is not in the house.
292,It can go to the house.
293,It will go to the room.
294,It can go to the room.
295,Does John like dogs?
296,He will go to his house.
297,A dog goes to the room.
298,You will go to a room.
299,The house is pretty.
300,A dog can go to the room.
301,People are not in the house.
302,She is not in her room.
303,We are not in the house.
304,John goes to a room.
305,People can go to the house.
306,He can go to his house.
307,She will go to her room.
308,The room is kind.
309,Why are they in the house?
310,They are not in their rooms.
311,People will go to the house.
312,A dog will go to the room.
313,John is not in a room.
314,It is not in the room.
315,Did Peter like dogs?
316,Why are you in the room?
317,They do not like the room.
318,You do not like the room.
319,I went to the house.
320,She went to the house.
321,They went to the room.
322,You will go to the room.
323,How do you like your dog?
324,They will go to the room.
325,You went to the room.
326,I will go to the house.
327,She does not like the house.
328,She will go to the house.
329,Why is the dog in the house?
330,Peter does like the house.
331,How is the dog in the house?
332,Do you like the dog?
333,She is in her house.
334,He will go to the house.
335,You like your dog.
336,Does Peter like the house?
337,He did go to the house.
338,John does like the house.
339,Did Peter like the dog?
340,John likes his dog.
341,The dogs are small.
342,John can go to the house.
343,We like our dog.
344,I am in my house.
345,He does like the house.
346,Does Peter like the dog?
347,It likes the house.
348,I like my dog.
349,Peter did go to the house.
350,John did go to the house.
351,People like their dogs.
352,We are in our house.
353,It is in the house.
354,Did Peter like the house?
355,John will go to the house.
356,You are in the house.
357,They love their house.
358,People would go to the house.
359,She will not go to the house.
360,We like the big house.
361,John will not go to the house.
362,A dog could go to the house.
363,People can be in the house.
364,They went to the house.
365,She is in the room.
366,They would not go to the house.
367,John goes to the house.
368,We did not like the house.
369,He does not like the house.
370,He could not go to the house.
371,It is not a big room.
372,We are in the rooms.
373,John loves his dog.
374,Peter likes his room.
375,They are not in the house.
376,It will not be in the house.
377,John hates the house.
378,He did not like the house.
379,We hate the house.
380,People did not go to the house.
381,A dog went to the house.
382,John likes his room.
383,People love their dogs.
384,Peter is in the room.
385,He loves his big dog.
386,He loves his big dog in the house.
387,He does not like the dog.
388,How is the dog?
389,They are in their rooms.
390,I like the dog.
391,They do not like the dog.
392,You are in your room.
393,People are in their rooms.
394,She is not in the room.
395,You are not in the room.
396,You do not like the dog.
397,I do not like the room.
398,Where is your room?
399,We do not like the house.
400,They never go to the house.
401,He is not in the house.
402,I am not in the room.
403,Does he like the dog?
404,Peter loves his house.
405,We never go to the house.
406,She never goes to the house.
407,She hated her room.
408,A dog is not in the house.
409,They love their dogs.
410,You can go in the room.
411,John did not like the room.
412,Peter would go to the house.
413,He hated his house.
414,People are not in the rooms.
415,John does not like the room.
416,They loved their dogs.
417,He loved his house.
418,She loved her room.
419,They hated their dogs.
420,You could go to the house.
421,Peter went to the house.
422,John did like the room.
423,He is in the room.
424,Why is he in the house?
425,We went to the house.
426,You love your dog.
427,The room is pretty.
428,Where did you go?
429,I love dogs.
430,The room is big.
431,The room is in the house.
432,John is kind.
433,They love their dog.
434,She does not like dogs.
435,The dog is in the house.
436,How do you like dogs?
437,You went to the house.
438,The dog is in the room.
439,John is in the room.
440,It is a kind dog.
441,The room is small.
442,The house is in the house.
443,We are kind people.
444,John is not in the room.
445,How are they?
446,How are we?
447,It is in the room.
