ID,words,class
0,Peter,noun
1,John,noun
2,people,noun
3,People,noun
4,house,noun
5,House,noun
6,room,noun
7,rooms,noun
8,a dog,noun
9,A dog,noun
10,dogs,noun
11,Dogs,noun
12,He,pronoun
13,him,pronoun
14,his,pronoun
15,he,pronoun
16,They,pronoun
17,them,pronoun
18,their,pronoun
19,they,pronoun
20,I,pronoun
21,me,pronoun
22,my,pronoun
23,mine,pronoun
24,We,pronoun
25,us,pronoun
26,our,pronoun
27,we,pronoun
28,She,pronoun
29,her,pronoun
30,her,pronoun
31,she,pronoun
32,You,pronoun
33,you,pronoun
34,your,pronoun
35,yours,pronoun
36,it,pronoun
37,It,pronoun
38,its,pronoun
39,Its,pronoun
40,are,copula
41,Are,copula
42,is,copula
43,Is,copula
44,am,copula
45,Am,copula
46,be,copula
47,be,copula
48,be,copula
49,am,copula
50,is,copula
51,are,copula
52,like,verb
53,likes,verb
54,liked,verb
55,liked,verb
56,hate,verb
57,hates,verb
58,hated,verb
59,hated,verb
60,will,auxilary verb
61,Will,auxilary verb
62,would,auxilary verb
63,Would,auxilary verb
64,can,auxilary verb
65,Can,auxilary verb
66,could,auxilary verb
67,Could,auxilary verb
68,big,adjective
69,Big,adjective
70,small,adjective
71,Small,adjective
72,kind,adjective
73,Kind,adjective
74,pretty,adjective
75,Pretty,adjective
76,in,preposition
77,for,preposition
78,to,preposition
79,of,preposition
80,the,article
81,The,article
82,a,article
83,A,article
84,do,verb
85,does,verb
86,did,verb
87,done,verb
88,go,verb
89,goes,verb
90,went,verb
91,gone,verb
92,love,verb
93,loves,verb
94,loved,verb
95,loved,verb
96,buy,verb
97,buys,verb
98,bought,verb
99,bought,verb
100,Do,verb
101,Does,verb
102,Did,verb
-1,nan,nan
103,do,verb
104,does,verb
105,did,verb
-1,nan,nan
106,who,pronoun
107,Who,pronoun
108,why,pronoun
109,Why,pronoun
110,how,pronoun
111,How,pronoun
112,where,pronoun
113,Where,pronoun
114,.,punctuation
115,?,punctuation
116,!,punctuation
117,",",punctuation
118,not,adverb
119,never,adverb
120,no,adjective
-1,nan,nan
